,time_series,time_step,speaker_1,speaker_2,speaker_3,speaker_4,speaker_5,speaker_6,speaker_7,speaker_8,speaker_9
0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0,32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0,34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0,35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0,36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0,37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0,39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0,41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0,42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0,43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0,44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0,45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0,46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,1,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,1,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,1,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,1,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,1,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
